event,submissive,started_at,ended_at,note,tags
lock,Robot_Boy,2026-06-20T10:20:00,2026-07-21T06:22:00,"6/20-7/21 lockup · 30d 20h total · 79.80% locked (imported from Artebu)",artebu
unlock,Robot_Boy,2026-06-26T00:30:00,2026-06-26T06:31:00,Unexpected pain,Discomfort
unlock,Robot_Boy,2026-06-27T22:23:00,2026-06-28T07:11:00,,Sleep
unlock,Robot_Boy,2026-06-28T22:00:00,2026-06-29T06:30:00,,Sleep
unlock,Robot_Boy,2026-06-29T22:45:00,2026-06-30T06:29:00,,Sleep
unlock,Robot_Boy,2026-07-02T17:25:00,2026-07-02T17:38:00,Ruined by wife,Ruined orgasm
unlock,Robot_Boy,2026-07-02T22:03:00,2026-07-03T07:03:00,,Sleep
unlock,Robot_Boy,2026-07-03T22:50:00,2026-07-04T06:50:00,,Sleep
unlock,Robot_Boy,2026-07-06T22:11:00,2026-07-06T23:46:00,,Sleep
unlock,Robot_Boy,2026-07-07T21:51:00,2026-07-08T08:44:00,,Hygiene
unlock,Robot_Boy,2026-07-08T22:15:00,2026-07-09T06:45:00,,Sleep
unlock,Robot_Boy,2026-07-09T23:01:00,2026-07-10T09:01:00,,Sleep
unlock,Robot_Boy,2026-07-11T23:15:00,2026-07-12T07:15:00,,Sleep
unlock,Robot_Boy,2026-07-13T22:30:00,2026-07-14T04:30:00,,Sleep
unlock,Robot_Boy,2026-07-14T22:20:00,2026-07-15T07:03:00,,Sleep
unlock,Robot_Boy,2026-07-15T22:29:00,2026-07-16T06:29:00,Sex ruined then sleep,"Ruined orgasm,Sleep"
unlock,Robot_Boy,2026-07-17T22:41:00,2026-07-19T06:01:00,,Sleep
unlock,Robot_Boy,2026-07-19T22:50:00,2026-07-20T07:00:00,,Sleep
lock,Robot_Boy,2026-07-21T08:00:00,2026-07-22T12:00:00,"7/21-7/22 lockup (imported from Artebu)",artebu
unlock,Robot_Boy,2026-07-21T22:20:00,2026-07-22T06:38:00,,Sleep
