partner,event_type,occurred_at,ended_at,notes,tags,orgasm_tags
xseptional,orgasm,2026-06-21T22:18:00,,,,"Masturbation"
JustJim,orgasm,2026-06-23T12:00:00,,,,"Prostate"
xseptional,orgasm,2026-06-24T12:00:00,,,,"Oral"
xseptional,orgasm,2026-06-25T22:11:00,,,,"Vibrator"
JustJim,orgasm,2026-06-25T23:14:00,,,,"Ruined Orgasm"
JustJim,orgasm,2026-07-02T17:18:00,,,,"Prostate,Ruined Orgasm"
xseptional,orgasm,2026-07-02T17:33:00,,,,"Vibrator"
xseptional,orgasm,2026-07-09T12:00:00,,,,"Handjob"
JustJim,orgasm,2026-07-10T12:00:00,,,,"Ruined Orgasm"
xseptional,orgasm,2026-07-13T22:40:00,,,,"Vibrator"
xseptional,no_orgasm,2026-07-13T22:40:00,,No orgasms recorded (Artebu),,
xseptional,orgasm,2026-07-14T12:00:00,,,,"Handjob,Vibrator"
xseptional,orgasm,2026-07-15T22:00:00,,,,"Vibrator"
JustJim,orgasm,2026-07-15T22:16:00,,,,"PiV,Ruined Orgasm"
xseptional,orgasm,2026-07-18T12:00:00,,,,"Vibrator"
JustJim,orgasm,2026-07-21T12:00:00,,,,"Cheated"
JustJim,orgasm,2026-07-22T12:00:00,,Shared session with xseptional (Artebu showed both),,"PiV"
xseptional,orgasm,2026-07-22T12:05:00,,Shared session with JustJim (Artebu showed both),,"PiV"
xseptional,orgasm,2026-07-29T12:00:00,,,,"Handjob"
